"Date","Death_cause","Parish"
1630-01-10,"Not_plague","S. Lorenzo"
1630-01-10,"Not_plague","S. Maria alla Porta"
1630-01-10,"Not_plague","S. Maria di Calvairate"
1630-01-10,"Not_plague","S. Maria Segreta"
1630-01-10,"Not_plague","S. Pietro in Caminadella"
1630-01-10,"Not_plague","S. Protaso in Campo foris"
1630-01-10,"Not_plague","S. Protaso in Campo foris"
1630-01-10,"Not_plague","S. Protaso in Campo intus"
1630-01-10,"Not_plague","S. Raffaele"
1630-01-10,"Not_plague","S. Stefano in Brolo"
1630-01-10,"Not_plague","S. Stefano in Brolo"
1630-01-10,"Not_plague","S. Tecla"
1630-01-10,"Not_plague","S. Tecla"
1630-01-10,"Not_plague","S. Vito in Pasquirolo"
1630-01-11,"Not_plague","S. Bartolomeo"
1630-01-11,"Not_plague","S. Eusebio"
1630-01-11,"Not_plague","S. Giovanni sul Muro"
1630-01-11,"Not_plague","S. Lorenzo"
1630-01-11,"Not_plague","S. Maria di Calvairate"
1630-01-11,"Not_plague","S. Protaso in Campo foris"
1630-01-11,"Not_plague","S. Vito in Pasquirolo"
1630-01-11,"Not_plague",NA
1630-01-12,"Not_plague","S. Babila"
1630-01-12,"Not_plague","S. Babila"
1630-01-12,"Not_plague","S. Babila"
1630-01-12,"Not_plague","S. Calimero"
1630-01-12,"Not_plague","S. Gottardo"
1630-01-12,"Not_plague","S. Marcellino"
1630-01-12,"Not_plague","S. Michele alla Chiusa"
1630-01-12,"Not_plague","S. Pietro all'Orto"
1630-01-12,"Not_plague","S. Protaso in Campo foris"
1630-01-12,"Not_plague","S. Protaso in Campo foris"
1630-01-12,"Not_plague","S. Satiro"
1630-01-12,"Not_plague","S. Satiro"
1630-01-12,"Not_plague","S. Simpliciano"
1630-01-12,"Not_plague","S. Simpliciano"
1630-01-12,"Not_plague","S. Simpliciano"
1630-01-12,"Not_plague","S. Stefano in Brolo"
1630-01-12,"Not_plague","S. Stefano in Brolo"
1630-01-12,"Not_plague","S. Stefano in Nosiggia"
1630-01-12,"Not_plague","S. Tecla"
1630-01-12,"Not_plague","S. Vito in Pasquirolo"
1630-01-14,"Not_plague","S. Babila"
1630-01-14,"Not_plague","S. Bartolomeo"
1630-01-14,"Not_plague","S. Lorenzo"
1630-01-14,"Not_plague","S. Maria al Circo"
1630-01-14,"Not_plague","S. Maria al Circo"
1630-01-14,"Not_plague","S. Maria Podone"
1630-01-14,"Not_plague","S. Martino in Nosiggia"
1630-01-14,"Not_plague","S. Sisto"
1630-01-14,"Not_plague","S. Stefano in Brolo"
1630-01-14,"Not_plague","S. Stefano in Brolo"
1630-01-14,"Not_plague","S. Stefano in Brolo"
1630-01-14,"Not_plague","S. Stefano in Brolo"
1630-01-14,"Not_plague","S. Tommaso in Terramara"
1630-01-15,"Not_plague","S. Giorgio al Palazzo"
1630-01-15,"Not_plague","S. Maria Podone"
1630-01-15,"Not_plague","S. Nazaro in Brolo"
1630-01-15,"Not_plague","S. Simpliciano"
1630-01-15,"Not_plague","S. Sisto"
1630-01-15,"Not_plague","S. Stefano in Brolo"
1630-01-15,"Not_plague","S. Stefano in Brolo"
1630-01-15,"Not_plague","S. Vito in Pasquirolo"
1630-01-16,"Not_plague","S. Bartolomeo"
1630-01-16,"Not_plague","S. Donnino alla Mazza"
1630-01-16,"Not_plague","S. Giovanni alle Quattro Facce"
1630-01-16,"Not_plague","S. Nazaro alla Barona"
1630-01-16,"Not_plague","S. Protaso in Campo intus"
1630-01-16,"Not_plague","S. Protaso in Campo intus"
1630-01-17,"Not_plague","S. Babila"
1630-01-17,"Not_plague","S. Giovanni sul Muro"
1630-01-17,"Not_plague","S. Giovanni sul Muro"
1630-01-17,"Not_plague","S. Giovanni sul Muro"
1630-01-17,"Not_plague","S. Gottardo"
1630-01-17,"Not_plague","S. Lorenzo"
1630-01-17,"Not_plague","S. Lorenzo"
1630-01-17,"Not_plague","S. Marcellino"
1630-01-17,"Not_plague","S. Marcellino"
1630-01-17,"Not_plague","S. Pietro in Ronchetto"
1630-01-17,"Not_plague","S. Protaso in Campo intus"
1630-01-17,"Not_plague","S. Stefano in Brolo"
1630-01-17,"Not_plague","S. Stefano in Brolo"
1630-01-17,"Not_plague","S. Stefano in Brolo"
1630-01-17,"Not_plague","S. Stefano in Brolo"
1630-01-17,"Not_plague","S. Tecla"
1630-01-17,"Not_plague","S. Vincenzo in Prato"
1630-01-17,"Not_plague","S. Vittore al Teatro"
1630-01-17,"Not_plague","S. Vittore al Teatro"
1630-01-18,"Not_plague","S. Babila"
1630-01-18,"Not_plague","S. Babila"
1630-01-18,"Not_plague","S. Giorgio al Palazzo"
1630-01-18,"Not_plague","S. Protaso in Campo foris"
1630-01-18,"Not_plague","S. Raffaele"
1630-01-18,"Not_plague","S. Raffaele"
1630-01-19,"Not_plague","S. Eusebio"
1630-01-19,"Not_plague","S. Giovanni in Conca"
1630-01-19,"Not_plague","S. Giovanni Laterano"
1630-01-19,"Not_plague","S. Lorenzo"
1630-01-19,"Not_plague","S. Maria alla Porta"
1630-01-19,"Not_plague","S. Martino in Nosiggia"
1630-01-19,"Not_plague","S. Nazaro alla Barona"
1630-01-19,"Not_plague","S. Pietro con la Rete"
1630-01-19,"Not_plague","S. Simpliciano"
1630-01-19,"Not_plague","S. Simpliciano"
1630-01-19,"Not_plague","S. Simpliciano"
1630-01-19,"Not_plague","S. Simpliciano"
1630-01-20,"Not_plague","S. Babila"
1630-01-20,"Not_plague","S. Babila"
1630-01-20,"Not_plague","S. Carpoforo"
1630-01-20,"Not_plague","S. Carpoforo"
1630-01-20,"Not_plague","S. Eufemia"
1630-01-20,"Not_plague","S. Eusebio"
1630-01-20,"Not_plague","S. Maria Segreta"
1630-01-20,"Not_plague","S. Maria Segreta"
1630-01-20,"Not_plague","S. Simpliciano"
1630-01-20,"Not_plague","S. Stefano in Nosiggia"
1630-01-20,"Not_plague","S. Stefano in Nosiggia"
1630-01-20,"Not_plague","S. Tommaso in Terramara"
1630-01-20,"Not_plague","S. Vito in Pasquirolo"
1630-01-21,"Not_plague","S. Babila"
1630-01-21,"Not_plague","S. Calimero"
1630-01-21,"Not_plague","S. Eufemia"
1630-01-21,"Not_plague","S. Gottardo"
1630-01-21,"Not_plague","S. Gottardo"
1630-01-21,"Not_plague","S. Lorenzo"
1630-01-21,"Not_plague","S. Pietro in Sala"
1630-01-21,"Not_plague","S. Pietro in Sala"
1630-01-21,"Not_plague","S. Rocco"
1630-01-21,"Not_plague","S. Stefano in Brolo"
1630-01-21,"Not_plague","S. Stefano in Brolo"
1630-01-22,"Not_plague","S. Eufemia"
1630-01-22,"Not_plague","S. Gottardo"
1630-01-22,"Not_plague","S. Maria di Calvairate"
1630-01-22,"Not_plague","S. Mattia alla Moneta"
1630-01-22,"Not_plague","S. Michele in Metropolitana"
1630-01-22,"Not_plague","S. Raffaele"
1630-01-22,"Not_plague","S. Tecla"
1630-01-22,"Not_plague","S. Tecla"
1630-01-22,"Not_plague","S. Vito in Pasquirolo"
1630-01-23,"Not_plague","S. Andrea"
1630-01-23,"Not_plague","S. Andrea"
1630-01-23,"Not_plague","S. Donnino alla Mazza"
1630-01-23,"Not_plague","S. Giorgio al Pozzo Bianco"
1630-01-23,"Not_plague","S. Nicolao"
1630-01-23,"Not_plague","S. Protaso in Campo intus"
1630-01-23,"Not_plague","S. Stefano in Nosiggia"
1630-01-24,"Not_plague","S. Bartolomeo"
1630-01-24,"Not_plague","S. Bartolomeo"
1630-01-24,"Not_plague","S. Gottardo"
1630-01-24,"Not_plague","S. Lorenzo"
1630-01-24,"Not_plague","S. Maria Beltrade"
1630-01-24,"Not_plague","S. Maria Podone"
1630-01-24,"Not_plague","S. Protaso in Campo foris"
1630-01-24,"Not_plague","S. Protaso in Campo foris"
1630-01-24,"Not_plague","S. Tommaso in Terramara"
1630-01-24,"Not_plague","S. Vito al Carobbio"
1630-01-25,"Not_plague","S. Babila"
1630-01-25,"Not_plague","S. Babila"
1630-01-25,"Not_plague","S. Calimero"
1630-01-25,"Not_plague","S. Calimero"
1630-01-25,"Not_plague","S. Carpoforo"
1630-01-25,"Not_plague","S. Carpoforo"
1630-01-25,"Not_plague","S. Lorenzo"
1630-01-25,"Not_plague","S. Maria di Calvairate"
1630-01-25,"Not_plague","S. Protaso in Campo foris"
1630-01-25,"Not_plague","S. Protaso in Campo intus"
1630-01-25,"Not_plague","S. Satiro"
1630-01-25,"Not_plague","S. Vito in Pasquirolo"
1630-01-26,"Not_plague","S. Babila"
1630-01-26,"Not_plague","S. Bartolomeo"
1630-01-26,"Not_plague","S. Bartolomeo"
1630-01-26,"Not_plague","S. Giorgio al Palazzo"
1630-01-26,"Not_plague","S. Giorgio al Palazzo"
1630-01-26,"Not_plague","S. Giorgio al Pozzo Bianco"
1630-01-26,"Not_plague","S. Lorenzo"
1630-01-26,"Not_plague","S. Nicolao"
1630-01-26,"Not_plague","S. Sebastiano"
1630-01-26,"Not_plague","S. Simpliciano"
1630-01-26,"Not_plague","S. Simpliciano"
1630-01-26,"Not_plague","S. Simpliciano"
1630-01-26,"Not_plague","S. Stefano in Brolo"
1630-01-26,"Not_plague","S. Stefano in Brolo"
1630-01-26,"Not_plague","S. Stefano in Brolo"
1630-01-26,"Not_plague","S. Tecla"
1630-01-26,"Not_plague","S. Tecla"
1630-01-27,"Not_plague","S. Babila"
1630-01-27,"Not_plague","S. Babila"
1630-01-27,"Not_plague","S. Eufemia"
1630-01-27,"Not_plague","S. Michele al Gallo"
1630-01-27,"Not_plague","S. Paolo in Compito"
1630-01-27,"Not_plague","S. Pietro in Ronchetto"
1630-01-27,"Not_plague","S. Protaso in Campo foris"
1630-01-27,"Not_plague","S. Protaso in Campo foris"
1630-01-27,"Not_plague","S. Protaso in Campo intus"
1630-01-27,"Not_plague","S. Raffaele"
1630-01-27,"Not_plague","S. Rocco"
1630-01-27,"Not_plague",NA
1630-01-28,"Not_plague","S. Gottardo"
1630-01-28,"Not_plague","S. Maria alla Porta"
1630-01-28,"Not_plague","S. Maria Beltrade"
1630-01-28,"Not_plague","S. Nazaro in Brolo"
1630-01-29,"Not_plague","S. Andrea"
1630-01-29,"Not_plague","S. Bartolomeo"
1630-01-29,"Not_plague","S. Calimero"
1630-01-29,"Not_plague","S. Carpoforo"
1630-01-29,"Not_plague","S. Giorgio al Palazzo"
1630-01-29,"Not_plague","S. Gottardo"
1630-01-29,"Not_plague","S. Marcellino"
1630-01-29,"Not_plague","S. Maria Beltrade"
1630-01-29,"Not_plague","S. Maria Segreta"
1630-01-29,"Not_plague","S. Maria Segreta"
1630-01-29,"Not_plague","S. Pietro sul Dosso"
1630-01-29,"Not_plague","S. Simpliciano"
1630-01-29,"Not_plague","S. Simpliciano"
1630-01-29,"Not_plague","S. Tecla"
1630-01-29,"Not_plague","S. Tecla"
1630-01-29,"Not_plague","S. Vito in Pasquirolo"
1630-01-30,"Not_plague","S. Alessandro in Zebedia"
1630-01-30,"Not_plague","S. Babila"
1630-01-30,"Not_plague","S. Babila"
1630-01-30,"Not_plague","S. Calimero"
1630-01-30,"Not_plague","S. Eufemia"
1630-01-30,"Not_plague","S. Eufemia"
1630-01-30,"Not_plague","S. Gottardo"
1630-01-30,"Not_plague","S. Pietro con la Rete"
1630-01-30,"Not_plague","S. Pietro in Caminadella"
1630-01-30,"Not_plague","S. Protaso in Campo foris"
1630-01-30,"Not_plague","S. Simpliciano"
1630-01-30,"Not_plague","S. Simpliciano"
1630-01-30,"Not_plague","S. Vito in Pasquirolo"
1630-01-30,"Plague","S. Maria alla Porta"
1630-01-31,"Not_plague","S. Carpoforo"
1630-01-31,"Not_plague","S. Carpoforo"
1630-01-31,"Not_plague","S. Martino al Corpo"
1630-01-31,"Not_plague","S. Pietro in Ronchetto"
1630-01-31,"Not_plague","S. Protaso in Campo foris"
1630-02-01,"Not_plague","S. Ambrogio in Solariolo"
1630-02-01,"Not_plague","S. Andrea"
1630-02-01,"Not_plague","S. Babila"
1630-02-01,"Not_plague","S. Bartolomeo"
1630-02-01,"Not_plague","S. Bartolomeo"
1630-02-01,"Not_plague","S. Lorenzo"
1630-02-01,"Not_plague","S. Maria alla Porta"
1630-02-01,"Not_plague","S. Maria alla Porta"
1630-02-01,"Not_plague","S. Nazaro in Brolo"
1630-02-01,"Not_plague","S. Nicolao"
1630-02-01,"Not_plague","S. Satiro"
1630-02-01,"Not_plague","S. Simpliciano"
1630-02-01,"Not_plague","S. Tecla"
1630-02-02,"Not_plague","S. Calimero"
1630-02-02,"Not_plague","S. Carpoforo"
1630-02-02,"Not_plague","S. Gottardo"
1630-02-02,"Not_plague","S. Michele alla Chiusa"
1630-02-02,"Not_plague","S. Protaso in Campo foris"
1630-02-02,"Not_plague","S. Protaso in Campo foris"
1630-02-02,"Not_plague","S. Sisto"
1630-02-02,"Not_plague","S. Stefano in Nosiggia"
1630-02-02,"Not_plague","S. Tecla"
1630-02-02,"Not_plague","S. Tecla"
1630-02-03,"Not_plague","S. Carpoforo"
1630-02-03,"Not_plague","S. Nazaro in Brolo"
1630-02-03,"Not_plague","S. Protaso in Campo foris"
1630-02-03,"Not_plague","S. Protaso in Campo foris"
1630-02-03,"Not_plague","S. Raffaele"
1630-02-03,"Not_plague","S. Simpliciano"
1630-02-04,"Not_plague","S. Lorenzo"
1630-02-04,"Not_plague","S. Maria alla Porta"
1630-02-04,"Not_plague",NA
1630-02-05,"Not_plague","S. Babila"
1630-02-05,"Not_plague","S. Bartolomeo"
1630-02-05,"Not_plague","S. Eufemia"
1630-02-05,"Not_plague","S. Giorgio al Palazzo"
1630-02-05,"Not_plague","S. Giorgio al Palazzo"
1630-02-05,"Not_plague","S. Giovanni Laterano"
1630-02-05,"Not_plague","S. Lorenzo"
1630-02-05,"Not_plague","S. Pietro con la Rete"
1630-02-05,"Not_plague","S. Protaso in Campo foris"
1630-02-05,"Not_plague","S. Protaso in Campo foris"
1630-02-05,"Not_plague","S. Simpliciano"
1630-02-05,"Not_plague","S. Stefano in Brolo"
1630-02-05,"Not_plague","S. Stefano in Brolo"
1630-02-05,"Not_plague","S. Vincenzo al Monastero Novo"
1630-02-05,"Not_plague","S. Vittore al Teatro"
1630-02-05,"Not_plague","S. Vittore e 40 Martiri"
1630-02-06,"Not_plague","S. Babila"
1630-02-06,"Not_plague","S. Giovanni Laterano"
1630-02-06,"Not_plague","S. Gottardo"
1630-02-06,"Not_plague","S. Protaso in Campo foris"
1630-02-06,"Not_plague","S. Protaso in Campo foris"
1630-02-06,"Not_plague","S. Stefano in Brolo"
1630-02-06,"Not_plague","S. Stefano in Nosiggia"
1630-02-06,"Not_plague","S. Vittore al Teatro"
1630-02-07,"Not_plague","S. Babila"
1630-02-07,"Not_plague","S. Bartolomeo"
1630-02-07,"Not_plague","S. Eufemia"
1630-02-07,"Not_plague","S. Lorenzo"
1630-02-07,"Not_plague","S. Maurilio"
1630-02-07,"Not_plague","S. Nazaro in Brolo"
1630-02-07,"Not_plague","S. Nazaro in Brolo"
1630-02-07,"Not_plague","S. Pietro all'Orto"
1630-02-07,"Not_plague","S. Protaso ad Monachos"
1630-02-07,"Not_plague","S. Stefano in Brolo"
1630-02-07,"Not_plague","S. Stefano in Nosiggia"
1630-02-07,"Not_plague","S. Tecla"
1630-02-07,"Not_plague","S. Vito in Pasquirolo"
1630-02-08,"Not_plague","S. Calimero"
1630-02-08,"Not_plague","S. Calimero"
1630-02-08,"Not_plague","S. Carpoforo"
1630-02-08,"Not_plague","S. Eusebio"
1630-02-08,"Not_plague","S. Gottardo"
1630-02-08,"Not_plague","S. Gottardo"
1630-02-08,"Not_plague","S. Gottardo"
1630-02-08,"Not_plague","S. Lorenzo"
1630-02-08,"Not_plague","S. Maria della Passerella"
1630-02-08,"Not_plague","S. Martino al Corpo"
1630-02-08,"Not_plague","S. Pietro in Ronchetto"
1630-02-08,"Not_plague","S. Stefano in Brolo"
1630-02-08,"Not_plague","S. Stefano in Brolo"
1630-02-08,"Not_plague","S. Stefano in Brolo"
1630-02-08,"Not_plague","S. Tecla"
1630-02-08,"Not_plague","S. Tecla"
1630-02-08,"Not_plague","S. Vincenzo al Monastero Novo"
1630-02-09,"Not_plague","S. Eufemia"
1630-02-09,"Not_plague","S. Martino al Corpo"
1630-02-09,"Not_plague","S. Nazaro in Brolo"
1630-02-09,"Not_plague","S. Pietro con la Rete"
1630-02-09,"Not_plague","S. Raffaele"
1630-02-09,"Not_plague","S. Raffaele"
1630-02-09,"Not_plague","S. Stefano in Brolo"
1630-02-09,"Not_plague","S. Stefano in Brolo"
1630-02-09,"Not_plague","S. Stefano in Brolo"
1630-02-10,"Not_plague","S. Andrea"
1630-02-10,"Not_plague","S. Bartolomeo"
1630-02-10,"Not_plague","S. Nazaro in Brolo"
1630-02-10,"Not_plague","S. Pietro in Caminadella"
1630-02-10,"Not_plague","S. Stefano in Brolo"
1630-02-11,"Not_plague","S. Maria Segreta"
1630-02-11,"Not_plague","S. Martino al Corpo"
1630-02-11,"Not_plague","S. Pietro sul Dosso"
1630-02-11,"Not_plague","S. Stefano in Brolo"
1630-02-11,"Not_plague","S. Stefano in Brolo"
1630-02-11,"Not_plague","S. Vito in Pasquirolo"
1630-02-11,"Not_plague","S. Vito in Pasquirolo"
1630-02-12,"Not_plague","S. Babila"
1630-02-12,"Not_plague","S. Giovanni sul Muro"
1630-02-12,"Not_plague","S. Maria Segreta"
1630-02-12,"Not_plague","S. Nazaro in Brolo"
1630-02-12,"Not_plague","S. Protaso in Campo foris"
1630-02-12,"Not_plague","S. Protaso in Campo foris"
1630-02-12,"Not_plague","S. Satiro"
1630-02-12,"Not_plague","S. Sebastiano"
1630-02-12,"Not_plague","S. Stefano in Brolo"
1630-02-13,"Not_plague","S. Calimero"
1630-02-13,"Not_plague","S. Maria Beltrade"
1630-02-13,"Not_plague","S. Nicolao"
1630-02-13,"Not_plague","S. Stefano in Nosiggia"
1630-02-14,"Not_plague","S. Babila"
1630-02-14,"Not_plague","S. Carpoforo"
1630-02-14,"Not_plague","S. Giorgio al Palazzo"
1630-02-14,"Not_plague","S. Maria di Calvairate"
1630-02-14,"Not_plague","S. Maria di Calvairate"
1630-02-14,"Not_plague","S. Protaso in Campo foris"
1630-02-14,"Not_plague","S. Rocco"
1630-02-14,"Not_plague","S. Stefano in Brolo"
1630-02-15,"Not_plague","S. Andrea"
1630-02-15,"Not_plague","S. Giorgio al Palazzo"
1630-02-15,"Not_plague","S. Maria alla Porta"
1630-02-15,"Not_plague","S. Stefano in Brolo"
1630-02-16,"Not_plague","S. Andrea"
1630-02-16,"Not_plague","S. Bartolomeo"
1630-02-16,"Not_plague","S. Fermo"
1630-02-16,"Not_plague","S. Lorenzo"
1630-02-16,"Not_plague","S. Lorenzo"
1630-02-16,"Not_plague","S. Pietro in Campo Lodigiano"
1630-02-16,"Not_plague","S. Simpliciano"
1630-02-16,"Not_plague","S. Simpliciano"
1630-02-17,"Not_plague","S. Babila"
1630-02-17,"Not_plague","S. Bartolomeo"
1630-02-17,"Not_plague","S. Giovanni Laterano"
1630-02-17,"Not_plague","S. Maria della Passerella"
1630-02-17,"Not_plague","S. Maria di Calvairate"
1630-02-17,"Not_plague","S. Michele al Gallo"
1630-02-17,"Not_plague","S. Pietro alla Vigna"
1630-02-17,"Not_plague","S. Simpliciano"
1630-02-18,"Not_plague","S. Alessandro in Zebedia"
1630-02-18,"Not_plague","S. Bartolomeo"
1630-02-18,"Not_plague","S. Gottardo"
1630-02-18,"Not_plague","S. Protaso in Campo foris"
1630-02-18,"Not_plague","S. Raffaele"
1630-02-18,"Not_plague","S. Rocco"
1630-02-18,"Not_plague","S. Stefano in Brolo"
1630-02-18,"Not_plague","S. Stefano in Brolo"
1630-02-18,"Not_plague","S. Vito in Pasquirolo"
1630-02-19,"Not_plague","S. Alessandro in Zebedia"
1630-02-19,"Not_plague","S. Alessandro in Zebedia"
1630-02-19,"Not_plague","S. Calimero"
1630-02-19,"Not_plague","S. Lorenzo"
1630-02-19,"Not_plague","S. Lorenzo"
1630-02-19,"Not_plague","S. Maria alla Porta"
1630-02-19,"Not_plague","S. Michele alla Chiusa"
1630-02-19,"Not_plague","S. Salvatore"
1630-02-19,"Not_plague","S. Simpliciano"
1630-02-19,"Not_plague","S. Simpliciano"
1630-02-19,"Not_plague","S. Simpliciano"
1630-02-20,"Not_plague","S. Babila"
1630-02-20,"Not_plague","S. Maria Segreta"
1630-02-20,"Not_plague","S. Nazaro in Brolo"
1630-02-20,"Not_plague","S. Pietro in Ronchetto"
1630-02-20,"Not_plague","S. Pietro in Sala"
1630-02-20,"Not_plague","S. Satiro"
1630-02-20,"Not_plague","S. Stefano in Brolo"
1630-02-20,"Not_plague","S. Vito in Pasquirolo"
1630-02-21,"Not_plague","S. Babila"
1630-02-21,"Not_plague","S. Carpoforo"
1630-02-21,"Not_plague","S. Carpoforo"
1630-02-21,"Not_plague","S. Gottardo"
1630-02-21,"Not_plague","S. Maria Beltrade"
1630-02-21,"Not_plague","S. Protaso in Campo foris"
1630-02-21,"Not_plague","S. Protaso in Campo foris"
1630-02-21,"Not_plague","S. Stefano in Brolo"
1630-02-21,"Not_plague","S. Vittore al Teatro"
1630-02-22,"Not_plague","S. Giovanni Laterano"
1630-02-22,"Not_plague","S. Gottardo"
1630-02-22,"Not_plague","S. Lorenzo"
1630-02-22,"Not_plague","S. Maria di Calvairate"
1630-02-22,"Not_plague","S. Maria Segreta"
1630-02-22,"Not_plague","S. Protaso in Campo foris"
1630-02-22,"Not_plague","S. Simpliciano"
1630-02-22,"Not_plague","S. Stefano in Brolo"
1630-02-22,"Not_plague","S. Stefano in Nosiggia"
1630-02-22,"Not_plague","S. Tecla"
1630-02-23,"Not_plague","S. Babila"
1630-02-23,"Not_plague","S. Bartolomeo"
1630-02-23,"Not_plague","S. Carpoforo"
1630-02-23,"Not_plague","S. Gottardo"
1630-02-23,"Not_plague","S. Nazaro in Brolo"
1630-02-23,"Not_plague","S. Pietro alla Vigna"
1630-02-24,"Not_plague","S. Babila"
1630-02-24,"Not_plague","S. Babila"
1630-02-24,"Not_plague","S. Giorgio al Palazzo"
1630-02-24,"Not_plague","S. Giovanni Laterano"
1630-02-24,"Not_plague","S. Lorenzo"
1630-02-24,"Not_plague","S. Maria della Passerella"
1630-02-24,"Not_plague","S. Maria di Calvairate"
1630-02-24,"Not_plague","S. Maria Podone"
1630-02-24,"Not_plague","S. Protaso in Campo foris"
1630-02-24,"Not_plague","S. Raffaele"
