"Date","Death_cause","Parish","count"
"1630-01-06","Not_plague","S. Stefano in Brolo",2
"1630-01-06","Not_plague","S. Stefano in Burgundia",1
"1630-01-07","Not_plague","S. Eusebio",1
"1630-01-07","Not_plague","S. Giorgio al Palazzo",1
"1630-01-07","Not_plague","S. Giorgio al Pozzo Bianco",1
"1630-01-07","Not_plague","S. Maria Beltrade",1
"1630-01-07","Not_plague","S. Michele alla Chiusa",2
"1630-01-07","Not_plague","S. Michele in Metropolitana",1
"1630-01-07","Not_plague","S. Protaso in Campo foris",3
"1630-01-07","Not_plague","S. Protaso in Campo intus",1
"1630-01-07","Not_plague","S. Salvatore",1
"1630-01-07","Not_plague","S. Stefano in Brolo",1
"1630-01-07","Not_plague","S. Stefano in Burgundia",1
"1630-01-07","Not_plague","S. Stefano in Nosiggia",1
"1630-01-07","Not_plague","S. Vito in Pasquirolo",1
"1630-01-08","Not_plague","S. Calimero",1
"1630-01-08","Not_plague","S. Eufemia",1
"1630-01-08","Not_plague","S. Eusebio",1
"1630-01-08","Not_plague","S. Lorenzo",2
"1630-01-08","Not_plague","S. Protaso in Campo intus",1
"1630-01-08","Not_plague","S. Raffaele",1
"1630-01-08","Not_plague","S. Vito in Pasquirolo",1
"1630-01-09","Not_plague","S. Ambrogio in Solariolo",1
"1630-01-09","Not_plague","S. Gottardo",1
"1630-01-09","Not_plague","S. Pietro alla Vigna",1
"1630-01-09","Not_plague","S. Satiro",1
"1630-01-09","Not_plague","S. Simpliciano",1
"1630-01-10","Not_plague","S. Babila",1
"1630-01-10","Not_plague","S. Bartolomeo",1
"1630-01-10","Not_plague","S. Lorenzo",1
"1630-01-10","Not_plague","S. Maria alla Porta",1
"1630-01-10","Not_plague","S. Maria di Calvairate",1
"1630-01-10","Not_plague","S. Maria Segreta",1
"1630-01-10","Not_plague","S. Pietro in Caminadella",1
"1630-01-10","Not_plague","S. Protaso in Campo foris",2
"1630-01-10","Not_plague","S. Protaso in Campo intus",1
"1630-01-10","Not_plague","S. Raffaele",1
"1630-01-10","Not_plague","S. Stefano in Brolo",2
"1630-01-10","Not_plague","S. Tecla",2
"1630-01-10","Not_plague","S. Vito in Pasquirolo",1
"1630-01-11","Not_plague","S. Bartolomeo",1
"1630-01-11","Not_plague","S. Eusebio",1
"1630-01-11","Not_plague","S. Giovanni sul Muro",1
"1630-01-11","Not_plague","S. Lorenzo",1
"1630-01-11","Not_plague","S. Maria di Calvairate",1
"1630-01-11","Not_plague","S. Protaso in Campo foris",1
"1630-01-11","Not_plague","S. Vito in Pasquirolo",1
"1630-01-11","Not_plague",NA,1
"1630-01-12","Not_plague","S. Babila",3
"1630-01-12","Not_plague","S. Calimero",1
"1630-01-12","Not_plague","S. Gottardo",1
"1630-01-12","Not_plague","S. Marcellino",1
"1630-01-12","Not_plague","S. Michele alla Chiusa",1
"1630-01-12","Not_plague","S. Pietro all'Orto",1
"1630-01-12","Not_plague","S. Protaso in Campo foris",2
"1630-01-12","Not_plague","S. Satiro",2
"1630-01-12","Not_plague","S. Simpliciano",3
"1630-01-12","Not_plague","S. Stefano in Brolo",2
"1630-01-12","Not_plague","S. Stefano in Nosiggia",1
"1630-01-12","Not_plague","S. Tecla",1
"1630-01-12","Not_plague","S. Vito in Pasquirolo",1
"1630-01-14","Not_plague","S. Babila",1
"1630-01-14","Not_plague","S. Bartolomeo",1
"1630-01-14","Not_plague","S. Lorenzo",1
"1630-01-14","Not_plague","S. Maria al Circo",2
"1630-01-14","Not_plague","S. Maria Podone",1
"1630-01-14","Not_plague","S. Martino in Nosiggia",1
"1630-01-14","Not_plague","S. Sisto",1
"1630-01-14","Not_plague","S. Stefano in Brolo",4
"1630-01-14","Not_plague","S. Tommaso in Terramara",1
"1630-01-15","Not_plague","S. Giorgio al Palazzo",1
"1630-01-15","Not_plague","S. Maria Podone",1
"1630-01-15","Not_plague","S. Nazaro in Brolo",1
"1630-01-15","Not_plague","S. Simpliciano",1
"1630-01-15","Not_plague","S. Sisto",1
"1630-01-15","Not_plague","S. Stefano in Brolo",2
"1630-01-15","Not_plague","S. Vito in Pasquirolo",1
"1630-01-16","Not_plague","S. Bartolomeo",1
"1630-01-16","Not_plague","S. Donnino alla Mazza",1
"1630-01-16","Not_plague","S. Giovanni alle Quattro Facce",1
"1630-01-16","Not_plague","S. Nazaro alla Barona",1
"1630-01-16","Not_plague","S. Protaso in Campo intus",2
"1630-01-17","Not_plague","S. Babila",1
"1630-01-17","Not_plague","S. Giovanni sul Muro",3
"1630-01-17","Not_plague","S. Gottardo",1
"1630-01-17","Not_plague","S. Lorenzo",2
"1630-01-17","Not_plague","S. Marcellino",2
"1630-01-17","Not_plague","S. Pietro in Ronchetto",1
"1630-01-17","Not_plague","S. Protaso in Campo intus",1
"1630-01-17","Not_plague","S. Stefano in Brolo",4
"1630-01-17","Not_plague","S. Tecla",1
"1630-01-17","Not_plague","S. Vincenzo in Prato",1
"1630-01-17","Not_plague","S. Vittore al Teatro",2
"1630-01-18","Not_plague","S. Babila",2
"1630-01-18","Not_plague","S. Giorgio al Palazzo",1
"1630-01-18","Not_plague","S. Protaso in Campo foris",1
"1630-01-18","Not_plague","S. Raffaele",2
"1630-01-19","Not_plague","S. Eusebio",1
"1630-01-19","Not_plague","S. Giovanni in Conca",1
"1630-01-19","Not_plague","S. Giovanni Laterano",1
"1630-01-19","Not_plague","S. Lorenzo",1
"1630-01-19","Not_plague","S. Maria alla Porta",1
"1630-01-19","Not_plague","S. Martino in Nosiggia",1
"1630-01-19","Not_plague","S. Nazaro alla Barona",1
"1630-01-19","Not_plague","S. Pietro con la Rete",1
"1630-01-19","Not_plague","S. Simpliciano",4
"1630-01-20","Not_plague","S. Babila",2
"1630-01-20","Not_plague","S. Carpoforo",2
"1630-01-20","Not_plague","S. Eufemia",1
"1630-01-20","Not_plague","S. Eusebio",1
"1630-01-20","Not_plague","S. Maria Segreta",2
"1630-01-20","Not_plague","S. Simpliciano",1
"1630-01-20","Not_plague","S. Stefano in Nosiggia",2
"1630-01-20","Not_plague","S. Tommaso in Terramara",1
"1630-01-20","Not_plague","S. Vito in Pasquirolo",1
"1630-01-21","Not_plague","S. Babila",1
"1630-01-21","Not_plague","S. Calimero",1
"1630-01-21","Not_plague","S. Eufemia",1
"1630-01-21","Not_plague","S. Gottardo",2
"1630-01-21","Not_plague","S. Lorenzo",1
"1630-01-21","Not_plague","S. Pietro in Sala",2
"1630-01-21","Not_plague","S. Rocco",1
"1630-01-21","Not_plague","S. Stefano in Brolo",2
"1630-01-22","Not_plague","S. Eufemia",1
"1630-01-22","Not_plague","S. Gottardo",1
"1630-01-22","Not_plague","S. Maria di Calvairate",1
"1630-01-22","Not_plague","S. Mattia alla Moneta",1
"1630-01-22","Not_plague","S. Michele in Metropolitana",1
"1630-01-22","Not_plague","S. Raffaele",1
"1630-01-22","Not_plague","S. Tecla",2
"1630-01-22","Not_plague","S. Vito in Pasquirolo",1
"1630-01-23","Not_plague","S. Andrea",2
"1630-01-23","Not_plague","S. Donnino alla Mazza",1
"1630-01-23","Not_plague","S. Giorgio al Pozzo Bianco",1
"1630-01-23","Not_plague","S. Nicolao",1
"1630-01-23","Not_plague","S. Protaso in Campo intus",1
"1630-01-23","Not_plague","S. Stefano in Nosiggia",1
"1630-01-24","Not_plague","S. Bartolomeo",2
"1630-01-24","Not_plague","S. Gottardo",1
"1630-01-24","Not_plague","S. Lorenzo",1
"1630-01-24","Not_plague","S. Maria Beltrade",1
"1630-01-24","Not_plague","S. Maria Podone",1
"1630-01-24","Not_plague","S. Protaso in Campo foris",2
"1630-01-24","Not_plague","S. Tommaso in Terramara",1
"1630-01-24","Not_plague","S. Vito al Carobbio",1
"1630-01-25","Not_plague","S. Babila",2
"1630-01-25","Not_plague","S. Calimero",2
"1630-01-25","Not_plague","S. Carpoforo",2
"1630-01-25","Not_plague","S. Lorenzo",1
"1630-01-25","Not_plague","S. Maria di Calvairate",1
"1630-01-25","Not_plague","S. Protaso in Campo foris",1
"1630-01-25","Not_plague","S. Protaso in Campo intus",1
"1630-01-25","Not_plague","S. Satiro",1
"1630-01-25","Not_plague","S. Vito in Pasquirolo",1
"1630-01-26","Not_plague","S. Babila",1
"1630-01-26","Not_plague","S. Bartolomeo",2
"1630-01-26","Not_plague","S. Giorgio al Palazzo",2
"1630-01-26","Not_plague","S. Giorgio al Pozzo Bianco",1
"1630-01-26","Not_plague","S. Lorenzo",1
"1630-01-26","Not_plague","S. Nicolao",1
"1630-01-26","Not_plague","S. Sebastiano",1
"1630-01-26","Not_plague","S. Simpliciano",3
"1630-01-26","Not_plague","S. Stefano in Brolo",3
"1630-01-26","Not_plague","S. Tecla",2
"1630-01-27","Not_plague","S. Babila",2
"1630-01-27","Not_plague","S. Eufemia",1
"1630-01-27","Not_plague","S. Michele al Gallo",1
"1630-01-27","Not_plague","S. Paolo in Compito",1
"1630-01-27","Not_plague","S. Pietro in Ronchetto",1
"1630-01-27","Not_plague","S. Protaso in Campo foris",2
"1630-01-27","Not_plague","S. Protaso in Campo intus",1
"1630-01-27","Not_plague","S. Raffaele",1
"1630-01-27","Not_plague","S. Rocco",1
"1630-01-27","Not_plague",NA,1
"1630-01-28","Not_plague","S. Gottardo",1
"1630-01-28","Not_plague","S. Maria alla Porta",1
"1630-01-28","Not_plague","S. Maria Beltrade",1
"1630-01-28","Not_plague","S. Nazaro in Brolo",1
"1630-01-29","Not_plague","S. Andrea",1
"1630-01-29","Not_plague","S. Bartolomeo",1
"1630-01-29","Not_plague","S. Calimero",1
"1630-01-29","Not_plague","S. Carpoforo",1
"1630-01-29","Not_plague","S. Giorgio al Palazzo",1
"1630-01-29","Not_plague","S. Gottardo",1
"1630-01-29","Not_plague","S. Marcellino",1
"1630-01-29","Not_plague","S. Maria Beltrade",1
"1630-01-29","Not_plague","S. Maria Segreta",2
"1630-01-29","Not_plague","S. Pietro sul Dosso",1
"1630-01-29","Not_plague","S. Simpliciano",2
"1630-01-29","Not_plague","S. Tecla",2
"1630-01-29","Not_plague","S. Vito in Pasquirolo",1
"1630-01-30","Not_plague","S. Alessandro in Zebedia",1
"1630-01-30","Not_plague","S. Babila",2
"1630-01-30","Not_plague","S. Calimero",1
"1630-01-30","Not_plague","S. Eufemia",2
"1630-01-30","Not_plague","S. Gottardo",1
"1630-01-30","Not_plague","S. Pietro con la Rete",1
"1630-01-30","Not_plague","S. Pietro in Caminadella",1
"1630-01-30","Not_plague","S. Protaso in Campo foris",1
"1630-01-30","Not_plague","S. Simpliciano",2
"1630-01-30","Not_plague","S. Vito in Pasquirolo",1
"1630-01-30","Plague","S. Maria alla Porta",1
"1630-01-31","Not_plague","S. Carpoforo",2
"1630-01-31","Not_plague","S. Martino al Corpo",1
"1630-01-31","Not_plague","S. Pietro in Ronchetto",1
"1630-01-31","Not_plague","S. Protaso in Campo foris",1
"1630-02-01","Not_plague","S. Ambrogio in Solariolo",1
"1630-02-01","Not_plague","S. Andrea",1
"1630-02-01","Not_plague","S. Babila",1
"1630-02-01","Not_plague","S. Bartolomeo",2
"1630-02-01","Not_plague","S. Lorenzo",1
"1630-02-01","Not_plague","S. Maria alla Porta",2
"1630-02-01","Not_plague","S. Nazaro in Brolo",1
"1630-02-01","Not_plague","S. Nicolao",1
"1630-02-01","Not_plague","S. Satiro",1
"1630-02-01","Not_plague","S. Simpliciano",1
"1630-02-01","Not_plague","S. Tecla",1
"1630-02-02","Not_plague","S. Calimero",1
"1630-02-02","Not_plague","S. Carpoforo",1
"1630-02-02","Not_plague","S. Gottardo",1
"1630-02-02","Not_plague","S. Michele alla Chiusa",1
"1630-02-02","Not_plague","S. Protaso in Campo foris",2
"1630-02-02","Not_plague","S. Sisto",1
"1630-02-02","Not_plague","S. Stefano in Nosiggia",1
"1630-02-02","Not_plague","S. Tecla",2
"1630-02-03","Not_plague","S. Carpoforo",1
"1630-02-03","Not_plague","S. Nazaro in Brolo",1
"1630-02-03","Not_plague","S. Protaso in Campo foris",2
"1630-02-03","Not_plague","S. Raffaele",1
"1630-02-03","Not_plague","S. Simpliciano",1
"1630-02-04","Not_plague","S. Lorenzo",1
"1630-02-04","Not_plague","S. Maria alla Porta",1
"1630-02-04","Not_plague",NA,1
"1630-02-05","Not_plague","S. Babila",1
"1630-02-05","Not_plague","S. Bartolomeo",1
"1630-02-05","Not_plague","S. Eufemia",1
"1630-02-05","Not_plague","S. Giorgio al Palazzo",2
"1630-02-05","Not_plague","S. Giovanni Laterano",1
"1630-02-05","Not_plague","S. Lorenzo",1
"1630-02-05","Not_plague","S. Pietro con la Rete",1
"1630-02-05","Not_plague","S. Protaso in Campo foris",2
"1630-02-05","Not_plague","S. Simpliciano",1
"1630-02-05","Not_plague","S. Stefano in Brolo",2
"1630-02-05","Not_plague","S. Vincenzo al Monastero Novo",1
"1630-02-05","Not_plague","S. Vittore al Teatro",1
"1630-02-05","Not_plague","S. Vittore e 40 Martiri",1
"1630-02-06","Not_plague","S. Babila",1
"1630-02-06","Not_plague","S. Giovanni Laterano",1
"1630-02-06","Not_plague","S. Gottardo",1
"1630-02-06","Not_plague","S. Protaso in Campo foris",2
"1630-02-06","Not_plague","S. Stefano in Brolo",1
"1630-02-06","Not_plague","S. Stefano in Nosiggia",1
"1630-02-06","Not_plague","S. Vittore al Teatro",1
"1630-02-07","Not_plague","S. Babila",1
"1630-02-07","Not_plague","S. Bartolomeo",1
"1630-02-07","Not_plague","S. Eufemia",1
"1630-02-07","Not_plague","S. Lorenzo",1
"1630-02-07","Not_plague","S. Maurilio",1
"1630-02-07","Not_plague","S. Nazaro in Brolo",2
"1630-02-07","Not_plague","S. Pietro all'Orto",1
"1630-02-07","Not_plague","S. Protaso ad Monachos",1
"1630-02-07","Not_plague","S. Stefano in Brolo",1
"1630-02-07","Not_plague","S. Stefano in Nosiggia",1
"1630-02-07","Not_plague","S. Tecla",1
"1630-02-07","Not_plague","S. Vito in Pasquirolo",1
"1630-02-08","Not_plague","S. Calimero",2
"1630-02-08","Not_plague","S. Carpoforo",1
"1630-02-08","Not_plague","S. Eusebio",1
"1630-02-08","Not_plague","S. Gottardo",3
"1630-02-08","Not_plague","S. Lorenzo",1
"1630-02-08","Not_plague","S. Maria della Passerella",1
"1630-02-08","Not_plague","S. Martino al Corpo",1
"1630-02-08","Not_plague","S. Pietro in Ronchetto",1
"1630-02-08","Not_plague","S. Stefano in Brolo",3
"1630-02-08","Not_plague","S. Tecla",2
"1630-02-08","Not_plague","S. Vincenzo al Monastero Novo",1
"1630-02-09","Not_plague","S. Eufemia",1
"1630-02-09","Not_plague","S. Martino al Corpo",1
"1630-02-09","Not_plague","S. Nazaro in Brolo",1
"1630-02-09","Not_plague","S. Pietro con la Rete",1
"1630-02-09","Not_plague","S. Raffaele",2
"1630-02-09","Not_plague","S. Stefano in Brolo",3
"1630-02-10","Not_plague","S. Andrea",1
"1630-02-10","Not_plague","S. Bartolomeo",1
"1630-02-10","Not_plague","S. Nazaro in Brolo",1
"1630-02-10","Not_plague","S. Pietro in Caminadella",1
"1630-02-10","Not_plague","S. Stefano in Brolo",1
"1630-02-11","Not_plague","S. Maria Segreta",1
"1630-02-11","Not_plague","S. Martino al Corpo",1
"1630-02-11","Not_plague","S. Pietro sul Dosso",1
"1630-02-11","Not_plague","S. Stefano in Brolo",2
"1630-02-11","Not_plague","S. Vito in Pasquirolo",2
"1630-02-12","Not_plague","S. Babila",1
"1630-02-12","Not_plague","S. Giovanni sul Muro",1
"1630-02-12","Not_plague","S. Maria Segreta",1
"1630-02-12","Not_plague","S. Nazaro in Brolo",1
"1630-02-12","Not_plague","S. Protaso in Campo foris",2
"1630-02-12","Not_plague","S. Satiro",1
"1630-02-12","Not_plague","S. Sebastiano",1
"1630-02-12","Not_plague","S. Stefano in Brolo",1
"1630-02-13","Not_plague","S. Calimero",1
"1630-02-13","Not_plague","S. Maria Beltrade",1
"1630-02-13","Not_plague","S. Nicolao",1
"1630-02-13","Not_plague","S. Stefano in Nosiggia",1
"1630-02-14","Not_plague","S. Babila",1
"1630-02-14","Not_plague","S. Carpoforo",1
"1630-02-14","Not_plague","S. Giorgio al Palazzo",1
"1630-02-14","Not_plague","S. Maria di Calvairate",2
"1630-02-14","Not_plague","S. Protaso in Campo foris",1
"1630-02-14","Not_plague","S. Rocco",1
"1630-02-14","Not_plague","S. Stefano in Brolo",1
"1630-02-15","Not_plague","S. Andrea",1
"1630-02-15","Not_plague","S. Giorgio al Palazzo",1
"1630-02-15","Not_plague","S. Maria alla Porta",1
"1630-02-15","Not_plague","S. Stefano in Brolo",1
"1630-02-16","Not_plague","S. Andrea",1
"1630-02-16","Not_plague","S. Bartolomeo",1
"1630-02-16","Not_plague","S. Fermo",1
"1630-02-16","Not_plague","S. Lorenzo",2
"1630-02-16","Not_plague","S. Pietro in Campo Lodigiano",1
"1630-02-16","Not_plague","S. Simpliciano",2
"1630-02-17","Not_plague","S. Babila",1
"1630-02-17","Not_plague","S. Bartolomeo",1
"1630-02-17","Not_plague","S. Giovanni Laterano",1
"1630-02-17","Not_plague","S. Maria della Passerella",1
"1630-02-17","Not_plague","S. Maria di Calvairate",1
"1630-02-17","Not_plague","S. Michele al Gallo",1
"1630-02-17","Not_plague","S. Pietro alla Vigna",1
"1630-02-17","Not_plague","S. Simpliciano",1
"1630-02-18","Not_plague","S. Alessandro in Zebedia",1
"1630-02-18","Not_plague","S. Bartolomeo",1
"1630-02-18","Not_plague","S. Gottardo",1
"1630-02-18","Not_plague","S. Protaso in Campo foris",1
"1630-02-18","Not_plague","S. Raffaele",1
"1630-02-18","Not_plague","S. Rocco",1
"1630-02-18","Not_plague","S. Stefano in Brolo",2
"1630-02-18","Not_plague","S. Vito in Pasquirolo",1
"1630-02-19","Not_plague","S. Alessandro in Zebedia",2
"1630-02-19","Not_plague","S. Calimero",1
"1630-02-19","Not_plague","S. Lorenzo",2
"1630-02-19","Not_plague","S. Maria alla Porta",1
"1630-02-19","Not_plague","S. Michele alla Chiusa",1
"1630-02-19","Not_plague","S. Salvatore",1
"1630-02-19","Not_plague","S. Simpliciano",3
"1630-02-20","Not_plague","S. Babila",1
"1630-02-20","Not_plague","S. Maria Segreta",1
"1630-02-20","Not_plague","S. Nazaro in Brolo",1
"1630-02-20","Not_plague","S. Pietro in Ronchetto",1
"1630-02-20","Not_plague","S. Pietro in Sala",1
"1630-02-20","Not_plague","S. Satiro",1
"1630-02-20","Not_plague","S. Stefano in Brolo",1
"1630-02-20","Not_plague","S. Vito in Pasquirolo",1
"1630-02-21","Not_plague","S. Babila",1
"1630-02-21","Not_plague","S. Carpoforo",2
"1630-02-21","Not_plague","S. Gottardo",1
"1630-02-21","Not_plague","S. Maria Beltrade",1
"1630-02-21","Not_plague","S. Protaso in Campo foris",2
"1630-02-21","Not_plague","S. Stefano in Brolo",1
"1630-02-21","Not_plague","S. Vittore al Teatro",1
"1630-02-22","Not_plague","S. Giovanni Laterano",1
"1630-02-22","Not_plague","S. Gottardo",1
"1630-02-22","Not_plague","S. Lorenzo",1
"1630-02-22","Not_plague","S. Maria di Calvairate",1
"1630-02-22","Not_plague","S. Maria Segreta",1
"1630-02-22","Not_plague","S. Protaso in Campo foris",1
"1630-02-22","Not_plague","S. Simpliciano",1
"1630-02-22","Not_plague","S. Stefano in Brolo",1
"1630-02-22","Not_plague","S. Stefano in Nosiggia",1
"1630-02-22","Not_plague","S. Tecla",1
"1630-02-23","Not_plague","S. Babila",1
"1630-02-23","Not_plague","S. Bartolomeo",1
"1630-02-23","Not_plague","S. Carpoforo",1
"1630-02-23","Not_plague","S. Gottardo",1
"1630-02-23","Not_plague","S. Nazaro in Brolo",1
"1630-02-23","Not_plague","S. Pietro alla Vigna",1
"1630-02-24","Not_plague","S. Babila",2
"1630-02-24","Not_plague","S. Giorgio al Palazzo",1
"1630-02-24","Not_plague","S. Giovanni Laterano",1
"1630-02-24","Not_plague","S. Lorenzo",1
"1630-02-24","Not_plague","S. Maria della Passerella",1
"1630-02-24","Not_plague","S. Maria di Calvairate",1
"1630-02-24","Not_plague","S. Maria Podone",1
"1630-02-24","Not_plague","S. Protaso in Campo foris",1
"1630-02-24","Not_plague","S. Raffaele",1
"1630-02-24","Not_plague","S. Simpliciano",1
"1630-02-24","Not_plague","S. Stefano in Brolo",2
"1630-02-24","Not_plague","S. Vittore al Teatro",1
"1630-02-25","Not_plague","S. Carpoforo",1
"1630-02-25","Not_plague","S. Eufemia",2
"1630-02-25","Not_plague","S. Giorgio al Pozzo Bianco",1
"1630-02-25","Not_plague","S. Protaso in Campo intus",1
"1630-02-26","Not_plague","S. Bartolomeo",1
"1630-02-26","Not_plague","S. Giovanni in Conca",1
"1630-02-26","Not_plague","S. Marcellino",2
"1630-02-26","Not_plague","S. Protaso in Campo foris",1
"1630-02-26","Not_plague","S. Simpliciano",2
"1630-02-26","Plague","S. Marcellino",1
"1630-02-27","Not_plague","S. Nazaro alla Barona",1
"1630-02-27","Not_plague","S. Pietro in Caminadella",1
"1630-02-27","Not_plague","S. Raffaele",1
"1630-02-27","Not_plague","S. Stefano in Brolo",1
"1630-02-27","Not_plague","S. Tecla",1
"1630-02-27","Not_plague","S. Vito in Pasquirolo",2
"1630-02-28","Not_plague","S. Bartolomeo",1
"1630-02-28","Not_plague","S. Giorgio al Palazzo",1
"1630-02-28","Not_plague","S. Gottardo",1
"1630-02-28","Not_plague","S. Lorenzo",1
"1630-02-28","Not_plague","S. Maria Segreta",1
"1630-02-28","Not_plague","S. Nazaro in Brolo",1
"1630-03-01","Not_plague","S. Lorenzo",2
"1630-03-01","Not_plague","S. Michele alla Chiusa",2
"1630-03-01","Not_plague","S. Nicolao",1
"1630-03-01","Not_plague","S. Protaso in Campo foris",1
"1630-03-02","Not_plague","S. Carpoforo",1
"1630-03-02","Not_plague","S. Donnino alla Mazza",1
"1630-03-02","Not_plague","S. Giorgio al Pozzo Bianco",1
"1630-03-02","Not_plague","S. Giovanni Laterano",1
"1630-03-02","Not_plague","S. Lorenzo",1
"1630-03-02","Not_plague","S. Maria Segreta",1
"1630-03-02","Not_plague","S. Paolo in Compito",1
"1630-03-02","Not_plague","S. Simpliciano",2
"1630-03-02","Not_plague","S. Stefano in Burgundia",1
"1630-03-02","Not_plague","S. Vito in Pasquirolo",1
"1630-03-03","Not_plague","S. Babila",1
"1630-03-03","Not_plague","S. Eusebio",1
"1630-03-03","Not_plague","S. Maria di Calvairate",1
"1630-03-03","Not_plague","S. Nazaro in Brolo",1
"1630-03-03","Not_plague","S. Protaso in Campo foris",1
"1630-03-03","Not_plague","S. Stefano in Nosiggia",1
"1630-03-04","Not_plague","S. Ambrogio in Solariolo",1
"1630-03-04","Not_plague","S. Lorenzo",2
"1630-03-04","Not_plague","S. Protaso in Campo foris",1
"1630-03-04","Not_plague","S. Simpliciano",3
"1630-03-04","Not_plague","S. Tecla",1
"1630-03-05","Not_plague","S. Babila",1
"1630-03-05","Not_plague","S. Bartolomeo",1
"1630-03-05","Not_plague","S. Calimero",1
"1630-03-05","Not_plague","S. Gottardo",1
"1630-03-05","Not_plague","S. Lorenzo",2
"1630-03-05","Not_plague","S. Maria al Circo",1
"1630-03-05","Not_plague","S. Protaso in Campo intus",1
"1630-03-05","Not_plague","S. Tecla",1
"1630-03-05","Not_plague","S. Tommaso in Terramara",1
"1630-03-05","Not_plague","S. Vittore al Teatro",1
"1630-03-06","Not_plague","S. Giovanni Laterano",1
"1630-03-06","Not_plague","S. Marcellino",1
"1630-03-06","Not_plague","S. Maria alla Porta",3
"1630-03-06","Not_plague","S. Mattia alla Moneta",1
"1630-03-07","Not_plague","S. Alessandro in Zebedia",1
"1630-03-07","Not_plague","S. Bartolomeo",1
"1630-03-07","Not_plague","S. Giovanni in Conca",1
"1630-03-07","Not_plague","S. Giovanni Laterano",1
"1630-03-07","Not_plague","S. Gottardo",1
"1630-03-07","Not_plague","S. Maria Beltrade",1
"1630-03-07","Not_plague","S. Maria Segreta",1
"1630-03-07","Not_plague","S. Martino al Corpo",1
"1630-03-07","Not_plague","S. Nazaro in Brolo",1
"1630-03-07","Not_plague","S. Protaso in Campo foris",1
"1630-03-07","Not_plague","S. Stefano in Brolo",2
"1630-03-07","Not_plague","S. Tommaso in Terramara",1
"1630-03-08","Not_plague","S. Calimero",1
"1630-03-08","Not_plague","S. Giovanni sul Muro",1
"1630-03-08","Not_plague","S. Gottardo",1
"1630-03-08","Not_plague","S. Satiro",1
"1630-03-08","Not_plague","S. Sebastiano",1
"1630-03-08","Not_plague","S. Vittore al Teatro",1
"1630-03-09","Not_plague","S. Bartolomeo",1
"1630-03-09","Not_plague","S. Nazaro in Brolo",3
"1630-03-09","Not_plague","S. Pietro in Caminadella",1
